Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0603_1608Metric",79.375000,-146.685000,180.000000,top
"C4","100n","C_0603_1608Metric",61.595000,-49.530000,0.000000,top
"C5","100n","C_0603_1608Metric",58.420000,-49.530000,0.000000,top
"C6","47p","C_0603_1608Metric",85.725000,-55.245000,180.000000,top
"C7","100n","C_0603_1608Metric",84.455000,-59.690000,180.000000,top
"C8","100n","C_0603_1608Metric",87.947500,-59.690000,180.000000,top
"C9","47p","C_0603_1608Metric",56.832500,-57.785000,0.000000,top
"C10","47p","C_0603_1608Metric",81.280000,-65.405000,-90.000000,top
"C11","100n","C_0603_1608Metric",92.710000,-79.375000,0.000000,top
"C12","560p","C_0603_1608Metric",95.250000,-80.645000,90.000000,top
"C13","560p","C_0603_1608Metric",76.835000,-82.867500,90.000000,top
"C14","560p","C_0603_1608Metric",76.835000,-88.265000,90.000000,top
"C15","560p","C_0603_1608Metric",95.250000,-87.471200,-90.000000,top
"C16","100n","C_0603_1608Metric",92.710000,-88.900000,180.000000,top
"C17","100n","C_0603_1608Metric",62.230000,-85.090000,0.000000,top
"C18","100n","C_0603_1608Metric",59.055000,-85.090000,0.000000,top
"C19","47p","C_0603_1608Metric",84.455000,-94.615000,90.000000,top
"C20","47p","C_0603_1608Metric",57.150000,-93.980000,0.000000,top
"C21","100n","C_0603_1608Metric",84.772500,-102.552500,180.000000,top
"C22","100n","C_0603_1608Metric",87.947500,-102.552500,180.000000,top
"C23","47p","C_0603_1608Metric",81.915000,-103.505000,90.000000,top
"C24","100n","C_0603_1608Metric",80.342500,-49.850000,0.000000,top
"C25","100n","C_0603_1608Metric",80.327500,-37.785000,0.000000,top
"C26","100n","C_0603_1608Metric",85.090000,-46.357500,-90.000000,top
"C27","100n","C_0603_1608Metric",85.090000,-41.597500,90.000000,top
"C28","100n","C_0603_1608Metric",79.375000,-108.585000,180.000000,top
"C29","100n","C_0603_1608Metric",61.595000,-125.730000,0.000000,top
"C30","100n","C_0603_1608Metric",58.420000,-125.730000,0.000000,top
"C31","47p","C_0603_1608Metric",85.725000,-130.175000,180.000000,top
"C32","100n","C_0603_1608Metric",84.455000,-134.620000,180.000000,top
"C33","100n","C_0603_1608Metric",87.947500,-134.620000,180.000000,top
"C34","47p","C_0603_1608Metric",56.832500,-133.985000,0.000000,top
"C35","47p","C_0603_1608Metric",80.010000,-140.335000,0.000000,top
"C36","100n","C_0603_1608Metric",92.710000,-154.940000,0.000000,top
"C37","560p","C_0603_1608Metric",95.250000,-156.527500,90.000000,top
"C38","560p","C_0603_1608Metric",76.200000,-158.750000,180.000000,top
"C39","560p","C_0603_1608Metric",77.470000,-163.830000,90.000000,top
"C40","560p","C_0603_1608Metric",95.250000,-163.195000,-90.000000,top
"C41","100n","C_0603_1608Metric",92.710000,-164.465000,180.000000,top
"C42","100n","C_0603_1608Metric",48.895000,-162.560000,0.000000,top
"C43","100n","C_0603_1608Metric",45.720000,-162.560000,0.000000,top
"C44","47p","C_0603_1608Metric",60.325000,-159.385000,90.000000,top
"C45","47p","C_0603_1608Metric",41.275000,-168.910000,-90.000000,top
"C46","100n","C_0603_1608Metric",60.642500,-167.640000,0.000000,top
"C47","100n","C_0603_1608Metric",63.817500,-167.640000,0.000000,top
"C48","47p","C_0603_1608Metric",55.880000,-167.005000,0.000000,top
"D1","1N5819HW","SOD123",60.960000,-35.560000,0.000000,top
"D2","1N5819HW","SOD123",53.975000,-30.480000,90.000000,top
"IC1","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",59.690000,-53.975000,0.000000,top
"IC2","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",86.360000,-63.500000,0.000000,top
"IC3","V2164SZ","SOIC-16_3.9x9.9mm_P1.27mm",86.360000,-84.455000,0.000000,top
"IC4","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",60.325000,-89.535000,0.000000,top
"IC5","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",86.360000,-99.060000,0.000000,top
"IC6","LM4040B10","SOT-23",81.915000,-46.355000,0.000000,top
"IC7","LM4040B10","SOT-23",81.915000,-41.595000,0.000000,top
"IC8","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",59.690000,-130.175000,0.000000,top
"IC9","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",86.360000,-138.430000,0.000000,top
"IC10","V2164SZ","SOIC-16_3.9x9.9mm_P1.27mm",86.360000,-160.020000,0.000000,top
"IC11","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",46.990000,-167.005000,0.000000,top
"IC12","OPA4171","TSSOP-14_4.4x5mm_P0.65mm",62.230000,-163.830000,0.000000,top
"L1","","L_0603_1608Metric",54.610000,-34.925000,180.000000,top
"L2","","L_0603_1608Metric",66.675000,-34.925000,0.000000,top
"P1","PTCSMD","PTC-1206",68.580000,-30.480000,90.000000,top
"R1","205.0k","R_0603_1608Metric",84.455000,-53.340000,180.000000,top
"R2","100k","R_0603_1608Metric",87.630000,-53.340000,0.000000,top
"R3","100.0k","R_0603_1608Metric",82.550000,-32.385000,0.000000,top
"R6","100k","R_0603_1608Metric",85.725000,-56.832500,180.000000,top
"R7","4.30k","R_0603_1608Metric",53.975000,-51.435000,0.000000,top
"R8","4.30k","R_0603_1608Metric",65.405000,-51.435000,0.000000,top
"R9","100k","R_0603_1608Metric",91.440000,-59.055000,-90.000000,top
"R10","3.90k","R_0603_1608Metric",65.405000,-53.975000,0.000000,top
"R11","100k","R_0603_1608Metric",73.660000,-57.150000,90.000000,top
"R12","1.0M","R_0603_1608Metric",92.710000,-62.230000,0.000000,top
"R13","4.30k","R_0603_1608Metric",53.975000,-58.261100,90.000000,top
"R14","66.50k","R_0603_1608Metric",56.832500,-59.690000,180.000000,top
"R15","1.2k","R_0603_1608Metric",60.960000,-58.420000,0.000000,top
"R16","100.0k","R_0603_1608Metric",99.060000,-57.150000,90.000000,top
"R17","402","R_0603_1608Metric",56.832500,-61.595000,0.000000,top
"R18","1.0M","R_0603_1608Metric",60.960000,-60.325000,0.000000,top
"R19","100.0k","R_0603_1608Metric",77.470000,-65.405000,-90.000000,top
"R20","100.0k","R_0603_1608Metric",79.375000,-65.405000,-90.000000,top
"R21","1.2k","R_0603_1608Metric",92.710000,-66.040000,0.000000,top
"R22","1.0M","R_0603_1608Metric",92.710000,-64.135000,0.000000,top
"R23","33.20k","R_0603_1608Metric",53.975000,-61.436000,-90.000000,top
"R24","1.0M","R_0603_1608Metric",59.055000,-63.500000,180.000000,top
"R25","DNP","R_0603_1608Metric",80.010000,-78.740000,0.000000,top
"R26","510","R_0603_1608Metric",92.710000,-81.280000,180.000000,top
"R27","510","R_0603_1608Metric",78.740000,-82.867500,90.000000,top
"R28","100.0k","R_0603_1608Metric",80.645000,-82.867500,-90.000000,top
"R29","33.20k","R_0603_1608Metric",92.710000,-83.185000,0.000000,top
"R30","33.20k","R_0603_1608Metric",92.710000,-85.090000,0.000000,top
"R31","100.0k","R_0603_1608Metric",80.010000,-86.995000,180.000000,top
"R32","510","R_0603_1608Metric",92.710000,-86.995000,180.000000,top
"R33","510","R_0603_1608Metric",80.010000,-88.900000,0.000000,top
"R34","100.0k","R_0603_1608Metric",82.550000,-70.485000,0.000000,top
"R35","1.0M","R_0603_1608Metric",92.710000,-97.790000,0.000000,top
"R38","100.0k","R_0603_1608Metric",86.360000,-94.615000,90.000000,top
"R39","100.0k","R_0603_1608Metric",88.265000,-94.615000,90.000000,top
"R40","4.30k","R_0603_1608Metric",54.610000,-86.995000,-90.000000,top
"R41","4.30k","R_0603_1608Metric",65.405000,-86.995000,-90.000000,top
"R42","1.0M","R_0603_1608Metric",92.710000,-99.695000,0.000000,top
"R43","100k","R_0603_1608Metric",91.440000,-94.615000,-90.000000,top
"R44","3.90k","R_0603_1608Metric",65.405000,-91.439900,-90.000000,top
"R45","100k","R_0603_1608Metric",73.660000,-95.250000,90.000000,top
"R46","4.30k","R_0603_1608Metric",53.975000,-93.821000,90.000000,top
"R47","66.50k","R_0603_1608Metric",57.150000,-95.885000,180.000000,top
"R48","1.2k","R_0603_1608Metric",60.960000,-93.980000,0.000000,top
"R49","100.0k","R_0603_1608Metric",99.060000,-95.250000,90.000000,top
"R50","100k","R_0603_1608Metric",78.740000,-103.505000,-90.000000,top
"R51","100k","R_0603_1608Metric",80.327500,-103.505000,90.000000,top
"R52","1.0M","R_0603_1608Metric",60.960100,-95.885000,0.000000,top
"R53","1.2k","R_0603_1608Metric",92.710000,-101.600000,0.000000,top
"R54","33.20k","R_0603_1608Metric",53.975000,-98.425000,-90.000000,top
"R55","402","R_0603_1608Metric",57.785000,-98.425000,90.000000,top
"R56","66.50k","R_0603_1608Metric",55.880000,-98.425000,-90.000000,top
"R57","205.0k","R_0603_1608Metric",76.200000,-104.457500,180.000000,top
"R58","1.0M","R_0603_1608Metric",60.960000,-97.789900,180.000000,top
"R59","1.2k","R_0603_1608Metric",78.740000,-46.357500,90.000000,top
"R60","1.2k","R_0603_1608Metric",78.740000,-41.595000,-90.000000,top
"R61","205.0k","R_0603_1608Metric",84.613800,-128.270000,180.000000,top
"R62","100k","R_0603_1608Metric",87.630000,-128.270000,0.000000,top
"R63","100.0k","R_0603_1608Metric",82.550000,-108.585000,0.000000,top
"R66","100k","R_0603_1608Metric",85.725000,-131.762500,180.000000,top
"R67","4.30k","R_0603_1608Metric",54.610000,-128.587500,-90.000000,top
"R68","4.30k","R_0603_1608Metric",64.770000,-128.905000,-90.000000,top
"R69","100k","R_0603_1608Metric",90.932000,-134.137400,-90.000000,top
"R70","3.90k","R_0603_1608Metric",64.770000,-132.080000,-90.000000,top
"R71","100k","R_0603_1608Metric",73.660000,-133.350000,90.000000,top
"R72","1.0M","R_0603_1608Metric",92.710000,-137.795000,0.000000,top
"R73","4.30k","R_0603_1608Metric",53.975000,-134.620000,90.000000,top
"R74","66.50k","R_0603_1608Metric",56.832500,-135.890000,180.000000,top
"R75","1.2k","R_0603_1608Metric",60.960000,-134.620000,0.000000,top
"R76","100.0k","R_0603_1608Metric",99.060000,-133.350000,90.000000,top
"R77","1.0M","R_0603_1608Metric",60.960000,-136.525000,0.000000,top
"R78","100.0k","R_0603_1608Metric",80.010000,-136.525000,0.000000,top
"R79","100.0k","R_0603_1608Metric",80.010000,-138.430000,180.000000,top
"R80","1.2k","R_0603_1608Metric",92.710000,-139.700000,0.000000,top
"R81","1.0M","R_0603_1608Metric",93.345000,-135.890000,0.000000,top
"R82","66.50k","R_0603_1608Metric",55.245000,-138.430000,-90.000000,top
"R83","33.20k","R_0603_1608Metric",53.340000,-138.430100,-90.000000,top
"R84","402","R_0603_1608Metric",57.150000,-138.430100,90.000000,top
"R85","1.0M","R_0603_1608Metric",60.960000,-138.430000,180.000000,top
"R86","DNP","R_0603_1608Metric",80.010000,-154.940000,0.000000,top
"R87","510","R_0603_1608Metric",92.710000,-156.845000,180.000000,top
"R88","510","R_0603_1608Metric",80.010000,-158.750000,0.000000,top
"R89","100.0k","R_0603_1608Metric",80.010000,-156.845000,180.000000,top
"R90","33.20k","R_0603_1608Metric",92.710000,-158.750000,0.000000,top
"R91","33.20k","R_0603_1608Metric",92.710000,-160.655000,0.000000,top
"R92","100.0k","R_0603_1608Metric",80.010000,-162.560000,180.000000,top
"R93","510","R_0603_1608Metric",92.710000,-162.560000,180.000000,top
"R94","510","R_0603_1608Metric",80.010000,-164.465000,0.000000,top
"R95","100.0k","R_0603_1608Metric",82.550000,-146.685000,0.000000,top
"R96","1.0M","R_0603_1608Metric",55.880000,-170.180000,90.000000,top
"R99","4.30k","R_0603_1608Metric",40.005000,-164.465000,90.000000,top
"R100","4.30k","R_0603_1608Metric",41.592500,-164.465000,-90.000000,top
"R101","100.0k","R_0603_1608Metric",62.230000,-159.385000,90.000000,top
"R102","100.0k","R_0603_1608Metric",64.135000,-159.385000,90.000000,top
"R103","33.20k","R_0603_1608Metric",38.417500,-164.465000,90.000000,top
"R104","1.0M","R_0603_1608Metric",57.785000,-170.180000,90.000000,top
"R105","100k","R_0603_1608Metric",71.120000,-171.450000,-90.000000,top
"R106","100k","R_0603_1608Metric",73.660000,-171.450000,90.000000,top
"R107","66.50k","R_0603_1608Metric",39.370000,-168.910000,90.000000,top
"R108","1.2k","R_0603_1608Metric",51.435000,-172.085000,-90.000000,top
"R109","100.0k","R_0603_1608Metric",99.060000,-171.450000,90.000000,top
"R110","1.0M","R_0603_1608Metric",49.530000,-172.085000,-90.000000,top
"R111","100k","R_0603_1608Metric",55.880000,-163.195000,180.000000,top
"R112","100k","R_0603_1608Metric",55.880000,-165.100000,0.000000,top
"R113","1.2k","R_0603_1608Metric",68.580000,-165.100000,0.000000,top
"R114","66.50k","R_0603_1608Metric",44.450000,-171.450000,180.000000,top
"R115","1.0M","R_0603_1608Metric",47.625000,-172.085000,-90.000000,top
"R116","402","R_0603_1608Metric",39.370000,-172.085000,90.000000,top
"R117","205.0k","R_0603_1608Metric",55.880000,-161.290000,180.000000,top
